fighter_id,firstname,lastname,nickname,wins,losses,draws,height,weight,reach,stance,dob,strikes_landed_per_min,striking_accuracy,strikes_absorbed_per_min,striking_defense,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
59a9d6dac61c2540,Nariman,Abbasov,Bayraktar,28,4,0,68.0,155.0,66.0,0.0,1994.0,3.0,20.0,5.67,46.0,0.0,0.0,66.0,0.0
3329d692aea4dc28,Hamdy,Abdelwahab,The Hammer,7,1,0,74.0,265.0,72.0,1.0,1993.0,4.27,55.0,3.67,51.0,3.25,65.0,100.0,0.0
2f5cbecbbe18bac4,Shamil,Abdurakhimov,Abrek,20,8,0,75.0,235.0,76.0,0.0,1981.0,2.41,44.0,3.02,55.0,1.01,23.0,45.0,0.1
7279654c7674cd24,Klidson,Abreu,White Bear,15,4,0,72.0,205.0,74.0,0.0,1992.0,2.05,40.0,2.9,55.0,0.64,20.0,80.0,0.0
989b85f6540c86b1,John,Adajar,The Outlaw,6,2,0,69.0,170.0,75.0,0.0,1991.0,3.9,52.0,6.28,44.0,0.0,0.0,0.0,0.0
83b00f7597e5ac83,Juan,Adams,The Kraken,5,3,0,77.0,265.0,80.0,0.0,1992.0,7.09,55.0,4.06,34.0,0.91,66.0,57.0,0.0
a77633a989013265,Anthony,Adams,Sugafoot,8,2,0,73.0,185.0,76.0,0.0,1988.0,3.17,41.0,5.93,44.0,0.0,0.0,0.0,0.0
79cb2a690b9ba5e8,Zarrukh,Adashev,The Lion,4,4,0,65.0,125.0,65.0,1.0,1992.0,3.65,40.0,3.04,64.0,0.0,0.0,100.0,0.5
1338e2c7480bdf9e,Israel,Adesanya,The Last Stylebender,24,5,0,76.0,185.0,80.0,2.0,1989.0,4.02,48.0,3.2,55.0,0.05,11.0,76.0,0.1
a08ddd04eaffd81d,Mariya,Agapova,Money Mashka,10,5,0,66.0,125.0,68.0,1.0,1997.0,4.43,54.0,3.62,52.0,0.55,66.0,45.0,0.8
8f382b3baa954d2a,Jessica,Aguilar,Jag,20,8,0,63.0,115.0,63.0,0.0,1982.0,4.93,50.0,7.19,53.0,0.94,25.0,50.0,0.2
cf946e03ba2e7666,Kevin,Aguilar,Angel of Death,17,5,0,67.0,155.0,73.0,0.0,1988.0,3.96,40.0,4.81,52.0,0.16,16.0,78.0,0.0
ae071698e1a3ccd4,Christian,Aguilera,The Beast,14,8,0,69.0,170.0,72.0,2.0,1991.0,2.54,37.0,4.04,48.0,0.0,0.0,60.0,0.0
0978385b2bd9ef9b,Nick,Aguirre,Slick,7,2,0,69.0,135.0,74.0,1.0,1996.0,0.73,33.0,2.89,45.0,1.16,20.0,33.0,0.6
49dea784f6cfed71,Ashiek,Ajim,Peak Physique,6,2,0,68.0,135.0,71.0,2.0,1994.0,5.0,40.0,11.25,25.0,0.0,0.0,0.0,0.0
16690d100f995f8f,Omari,Akhmedov,Wolverine,21,6,1,72.0,185.0,73.0,0.0,1987.0,2.97,34.0,2.84,55.0,2.58,45.0,65.0,0.2
597499ac7a5aac62,Abdul-Kareem,Al-Selwady,Pride of Palestine,15,4,0,68.0,155.0,69.0,0.0,1995.0,4.14,34.0,3.6,59.0,2.32,30.0,20.0,0.0
6d35bf94f7d30241,Amir,Albazi,The Prince,17,2,0,65.0,125.0,68.0,0.0,1993.0,2.72,34.0,3.71,61.0,1.39,32.0,50.0,0.5
7bd94b60d7521e4a,John,Albert,Prince,6,5,0,68.0,135.0,68.0,0.0,1986.0,3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1
c482c8605455a213,Junior,Albini,Baby,14,6,0,75.0,264.0,74.0,0.0,1991.0,3.98,51.0,6.08,52.0,1.54,37.0,100.0,0.0
e76d9f656ceb82ab,Aleksandra,Albu,Stitch,3,2,0,62.0,115.0,63.0,0.0,1990.0,4.83,47.0,5.56,38.0,2.27,50.0,77.0,0.4
2f95a3c6d58b2aad,Iuri,Alcantara,Marajo,35,10,0,69.0,135.0,71.0,1.0,1980.0,2.72,45.0,2.79,49.0,1.44,62.0,60.0,0.8
7c6e87729e824ef4,Ildemar,Alcantara,Marajo,21,11,0,74.0,185.0,78.0,0.0,1982.0,1.93,38.0,2.63,50.0,2.0,68.0,81.0,0.9
7460ddef986d3144,Jose,Alday,Pochito,14,6,1,67.0,135.0,68.0,0.0,1991.0,3.13,44.0,3.13,58.0,0.0,0.0,57.0,0.0
