fight_id,event_id,fighter1_id,fighter2_id,fighter1_name,fighter2_name,winner_id,weight_class,method,fighter1_KD,fighter2_KD,fighter1_SigStrikes_Landed,fighter1_SigStrikes_Att,fighter2_SigStrikes_Landed,fighter2_SigStrikes_Att,fighter1_TotalStrikes_Landed,fighter1_TotalStrikes_Att,fighter2_TotalStrikes_Landed,fighter2_TotalStrikes_Att,fighter1_Takedowns_Landed,fighter1_Takedowns_Att,fighter2_Takedowns_Landed,fighter2_Takedowns_Att,fighter1_Submission_Att,fighter2_Submission_Att,fighter1_Reversals,fighter2_Reversals,fighter1_Control_time,fighter2_Control_time,fighter1_Head_strikes,fighter2_Head_strikes,fighter1_Body_strikes,fighter2_Body_strikes,fighter1_Leg_strikes,fighter2_Leg_strikes,fighter1_Distance_strikes,fighter2_Distance_strikes,fighter1_Clinch_strikes,fighter2_Clinch_strikes,fighter1_Ground_strikes,fighter2_Ground_strikes
ce99b089400a4ad3,66e981516e2476d1,eb393afdbe3293d5,59a9d6dac61c2540,Ismael Bonfim,Nariman Abbasov,eb393afdbe3293d5,Lightweight Bout,Decision - Unanimous,1,0,40,72,14,70,40,72,14,70,0,1,0,1,0,0,0,0,0:03,0:19,29,8,8,4,3,2,32,14,5,0,3,0
3fdb4c4b39218cf4,7956f026e2672c47,3329d692aea4dc28,7a5e8c94a86f9895,Hamdy Abdelwahab,Chris Barnett,3329d692aea4dc28,Heavyweight Bout,Decision - Unanimous,0,0,41,58,8,16,47,64,8,17,4,6,0,0,0,0,0,0,3:03,0:00,35,3,5,4,1,1,10,5,6,3,25,0
a12d3a6c8aaf87ca,400c7b43c86d27d3,3329d692aea4dc28,da7f113b5ea39c43,Hamdy Abdelwahab,Mohammed Usman,da7f113b5ea39c43,Heavyweight Bout,Decision - Unanimous,0,0,16,32,9,46,16,32,9,46,0,0,0,0,0,0,0,0,0:00,0:00,9,8,1,1,6,0,16,9,0,0,0,0
984ce1062186f3ce,80dbeb1dd5b53e64,3329d692aea4dc28,f41b9f5efc7162d6,Hamdy Abdelwahab,Jamal Pogues,3329d692aea4dc28,Heavyweight Bout,Decision - Split,0,0,11,23,22,40,19,39,22,40,1,1,0,1,0,0,0,0,0:57,0:00,8,14,0,0,3,8,7,22,0,0,4,0
fffdc57255274be1,5717efc6f271cd52,2f5cbecbbe18bac4,41e83a89929d1327,Shamil Abdurakhimov,Jailton Almeida,41e83a89929d1327,Heavyweight Bout,KO/TKO,0,0,1,1,14,17,3,3,25,31,0,0,2,3,0,0,0,0,0:00,4:45,1,14,0,0,0,0,1,0,0,0,0,14
ae989e21c3839b49,1d00756835ca67c9,2f5cbecbbe18bac4,f14cf73e51b29254,Shamil Abdurakhimov,Sergei Pavlovich,f14cf73e51b29254,Heavyweight Bout,KO/TKO,0,1,17,34,21,47,17,34,22,48,0,1,0,0,0,0,0,0,0:00,0:12,4,21,4,0,9,0,17,6,0,4,0,11
f085f32bbb3220e1,0eec866a077889f0,2f5cbecbbe18bac4,d0aaedcf7ccd0b45,Shamil Abdurakhimov,Chris Daukaus,d0aaedcf7ccd0b45,Heavyweight Bout,KO/TKO,0,1,19,47,28,65,19,47,28,65,0,0,0,0,0,0,0,0,0:00,0:37,9,25,6,1,4,2,18,12,1,2,0,14
066756ea40b134a7,a79bfbc01b2264d6,fa6796c55d6c5440,2f5cbecbbe18bac4,Curtis Blaydes,Shamil Abdurakhimov,fa6796c55d6c5440,Heavyweight Bout,KO/TKO,0,0,12,24,1,5,25,43,1,5,4,4,0,0,0,0,0,0,4:02,0:00,10,1,1,0,1,0,2,1,0,0,10,0
0bc7e4852f75a06d,7dcf06c1967801c1,c9cf753cfdf77fc2,2f5cbecbbe18bac4,Marcin Tybura,Shamil Abdurakhimov,2f5cbecbbe18bac4,Heavyweight Bout,KO/TKO,0,0,14,36,19,53,14,36,19,53,0,0,0,0,0,0,0,0,0:00,0:00,10,11,2,6,2,2,14,14,0,5,0,0
a7e8416f0d57c8e0,8d49545dadf9b919,3738e68d2261e60f,2f5cbecbbe18bac4,Andrei Arlovski,Shamil Abdurakhimov,2f5cbecbbe18bac4,Heavyweight Bout,Decision - Unanimous,0,0,9,22,5,16,11,27,25,38,0,0,1,2,0,0,0,0,0:00,2:00,3,3,3,2,3,0,4,1,3,2,2,2
