fighter_id,firstname,lastname,nickname,wins,losses,draws,height,weight,reach,stance,dob,strikes_landed_per_min,striking_accuracy,strikes_absorbed_per_min,striking_defense,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
59a9d6dac61c2540,Nariman,Abbasov,Bayraktar,28,4,0,68.0,155.0,66.0,0,1994.0,3.0,20,5.67,46,0.0,0,66,0.0
3329d692aea4dc28,Hamdy,Abdelwahab,The Hammer,7,1,0,74.0,265.0,72.0,1,1993.0,4.27,55,3.67,51,3.25,65,100,0.0
2f5cbecbbe18bac4,Shamil,Abdurakhimov,Abrek,20,8,0,75.0,235.0,76.0,0,1981.0,2.41,44,3.02,55,1.01,23,45,0.1
7279654c7674cd24,Klidson,Abreu,White Bear,15,4,0,72.0,205.0,74.0,0,1992.0,2.05,40,2.9,55,0.64,20,80,0.0
989b85f6540c86b1,John,Adajar,The Outlaw,6,2,0,69.0,170.0,75.0,0,1991.0,3.9,52,6.28,44,0.0,0,0,0.0
83b00f7597e5ac83,Juan,Adams,The Kraken,5,3,0,77.0,265.0,80.0,0,1992.0,7.09,55,4.06,34,0.91,66,57,0.0
a77633a989013265,Anthony,Adams,Sugafoot,8,2,0,73.0,185.0,76.0,0,1988.0,3.17,41,5.93,44,0.0,0,0,0.0
79cb2a690b9ba5e8,Zarrukh,Adashev,The Lion,4,4,0,65.0,125.0,65.0,1,1992.0,3.65,40,3.04,64,0.0,0,100,0.5
1338e2c7480bdf9e,Israel,Adesanya,The Last Stylebender,24,5,0,76.0,185.0,80.0,2,1989.0,4.02,48,3.2,55,0.05,11,76,0.1
a08ddd04eaffd81d,Mariya,Agapova,Money Mashka,10,5,0,66.0,125.0,68.0,1,1997.0,4.43,54,3.62,52,0.55,66,45,0.8
